HR,SpO2,Timestamp
85,96,2025-01-13 01:19:00
81,96,2025-01-13 01:20:00
70,95,2025-01-13 01:21:00
77,94,2025-01-13 01:22:00
65,95,2025-01-13 01:23:00
83,96,2025-01-13 01:24:00
85,93,2025-01-13 01:25:00
85,94,2025-01-13 01:26:00
84,92,2025-01-13 01:27:00
63,93,2025-01-13 01:28:00
93,95,2025-01-13 01:29:00
69,97,2025-01-13 01:30:00
86,96,2025-01-13 01:31:00
96,98,2025-01-13 01:32:00
75,95,2025-01-13 01:33:00
60,97,2025-01-13 01:34:00
68,94,2025-01-13 01:35:00
85,95,2025-01-13 01:36:00
71,93,2025-01-13 01:37:00
79,96,2025-01-13 01:38:00
68,95,2025-01-13 01:39:00
55,96,2025-01-13 01:40:00
83,95,2025-01-13 01:41:00
55,97,2025-01-13 01:42:00
74,92,2025-01-13 01:43:00
65,96,2025-01-13 01:44:00
66,94,2025-01-13 01:45:00
66,98,2025-01-13 01:46:00
62,95,2025-01-13 01:47:00
69,97,2025-01-13 01:48:00
72,91,2025-01-13 01:49:00
65,93,2025-01-13 01:50:00
64,94,2025-01-13 01:51:00
62,100,2025-01-13 01:52:00
89,91,2025-01-13 01:53:00
89,93,2025-01-13 01:54:00
65,94,2025-01-13 01:55:00
74,94,2025-01-13 01:56:00
71,93,2025-01-13 01:57:00
67,95,2025-01-13 01:58:00
73,95,2025-01-13 01:59:00
80,95,2025-01-13 02:00:00
58,92,2025-01-13 02:01:00
81,93,2025-01-13 02:02:00
73,96,2025-01-13 02:03:00
82,96,2025-01-13 02:04:00
61,97,2025-01-13 02:05:00
79,95,2025-01-13 02:06:00
72,96,2025-01-13 02:07:00
90,94,2025-01-13 02:08:00
75,92,2025-01-13 02:09:00
73,94,2025-01-13 02:10:00
85,89,2025-01-13 02:11:00
79,95,2025-01-13 02:12:00
75,95,2025-01-13 02:13:00
81,91,2025-01-13 02:14:00
77,92,2025-01-13 02:15:00
59,96,2025-01-13 02:16:00
82,93,2025-01-13 02:17:00
86,92,2025-01-13 02:18:00
72,95,2025-01-13 02:19:00
86,92,2025-01-13 02:20:00
89,92,2025-01-13 02:21:00
86,94,2025-01-13 02:22:00
71,93,2025-01-13 02:23:00
95,96,2025-01-13 02:24:00
72,96,2025-01-13 02:25:00
78,95,2025-01-13 02:26:00
65,94,2025-01-13 02:27:00
62,99,2025-01-13 02:28:00
88,95,2025-01-13 02:29:00
66,92,2025-01-13 02:30:00
85,96,2025-01-13 02:31:00
81,97,2025-01-13 02:32:00
80,94,2025-01-13 02:33:00
90,95,2025-01-13 02:34:00
72,95,2025-01-13 02:35:00
78,94,2025-01-13 02:36:00
69,96,2025-01-13 02:37:00
74,96,2025-01-13 02:38:00
79,94,2025-01-13 02:39:00
85,93,2025-01-13 02:40:00
60,96,2025-01-13 02:41:00
66,92,2025-01-13 02:42:00
76,97,2025-01-13 02:43:00
69,94,2025-01-13 02:44:00
85,91,2025-01-13 02:45:00
76,90,2025-01-13 02:46:00
83,97,2025-01-13 02:47:00
63,92,2025-01-13 02:48:00
87,94,2025-01-13 02:49:00
78,94,2025-01-13 02:50:00
76,94,2025-01-13 02:51:00
90,91,2025-01-13 02:52:00
79,92,2025-01-13 02:53:00
78,96,2025-01-13 02:54:00
80,93,2025-01-13 02:55:00
72,94,2025-01-13 02:56:00
70,96,2025-01-13 02:57:00
70,95,2025-01-13 02:58:00
69,94,2025-01-13 02:59:00
85,93,2025-01-13 03:00:00
85,92,2025-01-13 03:01:00
79,90,2025-01-13 03:02:00
64,96,2025-01-13 03:03:00
64,99,2025-01-13 03:04:00
82,93,2025-01-13 03:05:00
50,96,2025-01-13 03:06:00
75,95,2025-01-13 03:07:00
95,91,2025-01-13 03:08:00
84,96,2025-01-13 03:09:00
81,96,2025-01-13 03:10:00
69,98,2025-01-13 03:11:00
68,94,2025-01-13 03:12:00
77,96,2025-01-13 03:13:00
72,99,2025-01-13 03:14:00
89,92,2025-01-13 03:15:00
77,93,2025-01-13 03:16:00
71,91,2025-01-13 03:17:00
76,96,2025-01-13 03:18:00
62,98,2025-01-13 03:19:00
81,95,2025-01-13 03:20:00
77,94,2025-01-13 03:21:00
82,93,2025-01-13 03:22:00
80,94,2025-01-13 03:23:00
88,91,2025-01-13 03:24:00
86,95,2025-01-13 03:25:00
62,98,2025-01-13 03:26:00
72,96,2025-01-13 03:27:00
78,96,2025-01-13 03:28:00
70,96,2025-01-13 03:29:00
77,96,2025-01-13 03:30:00
72,93,2025-01-13 03:31:00
67,97,2025-01-13 03:32:00
83,93,2025-01-13 03:33:00
77,93,2025-01-13 03:34:00
82,96,2025-01-13 03:35:00
64,99,2025-01-13 03:36:00
79,95,2025-01-13 03:37:00
68,98,2025-01-13 03:38:00
76,95,2025-01-13 03:39:00
78,93,2025-01-13 03:40:00
83,97,2025-01-13 03:41:00
47,99,2025-01-13 03:42:00
58,95,2025-01-13 03:43:00
81,95,2025-01-13 03:44:00
65,96,2025-01-13 03:45:00
82,93,2025-01-13 03:46:00
62,97,2025-01-13 03:47:00
91,93,2025-01-13 03:48:00
73,94,2025-01-13 03:49:00
65,95,2025-01-13 03:50:00
71,95,2025-01-13 03:51:00
97,91,2025-01-13 03:52:00
78,97,2025-01-13 03:53:00
75,96,2025-01-13 03:54:00
85,90,2025-01-13 03:55:00
74,94,2025-01-13 03:56:00
72,96,2025-01-13 03:57:00
82,96,2025-01-13 03:58:00
66,98,2025-01-13 03:59:00
76,94,2025-01-13 04:00:00
76,93,2025-01-13 04:01:00
67,93,2025-01-13 04:02:00
74,97,2025-01-13 04:03:00
77,97,2025-01-13 04:04:00
76,94,2025-01-13 04:05:00
77,98,2025-01-13 04:06:00
65,96,2025-01-13 04:07:00
60,97,2025-01-13 04:08:00
63,92,2025-01-13 04:09:00
62,96,2025-01-13 04:10:00
71,93,2025-01-13 04:11:00
82,93,2025-01-13 04:12:00
74,96,2025-01-13 04:13:00
84,94,2025-01-13 04:14:00
70,97,2025-01-13 04:15:00
53,97,2025-01-13 04:16:00
72,95,2025-01-13 04:17:00
75,95,2025-01-13 04:18:00
75,91,2025-01-13 04:19:00
53,95,2025-01-13 04:20:00
67,96,2025-01-13 04:21:00
87,94,2025-01-13 04:22:00
74,93,2025-01-13 04:23:00
86,95,2025-01-13 04:24:00
77,97,2025-01-13 04:25:00
62,96,2025-01-13 04:26:00
80,92,2025-01-13 04:27:00
91,90,2025-01-13 04:28:00
74,95,2025-01-13 04:29:00
75,96,2025-01-13 04:30:00
79,100,2025-01-13 04:31:00
71,96,2025-01-13 04:32:00
65,95,2025-01-13 04:33:00
79,95,2025-01-13 04:34:00
83,94,2025-01-13 04:35:00
77,95,2025-01-13 04:36:00
74,97,2025-01-13 04:37:00
87,94,2025-01-13 04:38:00
51,98,2025-01-13 04:39:00
74,95,2025-01-13 04:40:00
72,98,2025-01-13 04:41:00
68,97,2025-01-13 04:42:00
65,96,2025-01-13 04:43:00
74,100,2025-01-13 04:44:00
63,94,2025-01-13 04:45:00
72,93,2025-01-13 04:46:00
76,94,2025-01-13 04:47:00
63,97,2025-01-13 04:48:00
78,94,2025-01-13 04:49:00
87,96,2025-01-13 04:50:00
50,100,2025-01-13 04:51:00
82,89,2025-01-13 04:52:00
92,91,2025-01-13 04:53:00
73,98,2025-01-13 04:54:00
64,93,2025-01-13 04:55:00
87,95,2025-01-13 04:56:00
84,92,2025-01-13 04:57:00
68,97,2025-01-13 04:58:00
76,93,2025-01-13 04:59:00
77,93,2025-01-13 05:00:00
85,95,2025-01-13 05:01:00
70,93,2025-01-13 05:02:00
82,96,2025-01-13 05:03:00
74,96,2025-01-13 05:04:00
72,93,2025-01-13 05:05:00
69,93,2025-01-13 05:06:00
75,96,2025-01-13 05:07:00
80,99,2025-01-13 05:08:00
81,94,2025-01-13 05:09:00
74,93,2025-01-13 05:10:00
69,97,2025-01-13 05:11:00
67,96,2025-01-13 05:12:00
81,95,2025-01-13 05:13:00
78,95,2025-01-13 05:14:00
92,96,2025-01-13 05:15:00
72,95,2025-01-13 05:16:00
66,98,2025-01-13 05:17:00
74,94,2025-01-13 05:18:00
85,97,2025-01-13 05:19:00
67,96,2025-01-13 05:20:00
86,93,2025-01-13 05:21:00
72,96,2025-01-13 05:22:00
70,95,2025-01-13 05:23:00
89,97,2025-01-13 05:24:00
62,100,2025-01-13 05:25:00
73,92,2025-01-13 05:26:00
71,94,2025-01-13 05:27:00
68,94,2025-01-13 05:28:00
78,96,2025-01-13 05:29:00
76,95,2025-01-13 05:30:00
80,97,2025-01-13 05:31:00
81,97,2025-01-13 05:32:00
80,95,2025-01-13 05:33:00
82,95,2025-01-13 05:34:00
83,93,2025-01-13 05:35:00
73,95,2025-01-13 05:36:00
68,94,2025-01-13 05:37:00
74,95,2025-01-13 05:38:00
60,95,2025-01-13 05:39:00
86,93,2025-01-13 05:40:00
70,97,2025-01-13 05:41:00
84,96,2025-01-13 05:42:00
76,98,2025-01-13 05:43:00
71,98,2025-01-13 05:44:00
65,89,2025-01-13 05:45:00
72,92,2025-01-13 05:46:00
74,95,2025-01-13 05:47:00
72,94,2025-01-13 05:48:00
70,98,2025-01-13 05:49:00
67,96,2025-01-13 05:50:00
72,95,2025-01-13 05:51:00
72,93,2025-01-13 05:52:00
78,94,2025-01-13 05:53:00
69,94,2025-01-13 05:54:00
71,97,2025-01-13 05:55:00
71,94,2025-01-13 05:56:00
91,92,2025-01-13 05:57:00
75,95,2025-01-13 05:58:00
79,98,2025-01-13 05:59:00
81,93,2025-01-13 06:00:00
50,96,2025-01-13 06:01:00
73,94,2025-01-13 06:02:00
60,94,2025-01-13 06:03:00
94,91,2025-01-13 06:04:00
66,96,2025-01-13 06:05:00
83,94,2025-01-13 06:06:00
88,98,2025-01-13 06:07:00
59,94,2025-01-13 06:08:00
65,95,2025-01-13 06:09:00
81,92,2025-01-13 06:10:00
75,98,2025-01-13 06:11:00
78,95,2025-01-13 06:12:00
63,97,2025-01-13 06:13:00
80,95,2025-01-13 06:14:00
85,93,2025-01-13 06:15:00
81,92,2025-01-13 06:16:00
88,93,2025-01-13 06:17:00
90,93,2025-01-13 06:18:00
72,93,2025-01-13 06:19:00
67,94,2025-01-13 06:20:00
72,94,2025-01-13 06:21:00
71,93,2025-01-13 06:22:00
86,93,2025-01-13 06:23:00
78,96,2025-01-13 06:24:00
65,97,2025-01-13 06:25:00
77,97,2025-01-13 06:26:00
65,95,2025-01-13 06:27:00
81,96,2025-01-13 06:28:00
72,92,2025-01-13 06:29:00
48,96,2025-01-13 06:30:00
76,100,2025-01-13 06:31:00
73,97,2025-01-13 06:32:00
78,96,2025-01-13 06:33:00
77,95,2025-01-13 06:34:00
63,98,2025-01-13 06:35:00
80,94,2025-01-13 06:36:00
66,98,2025-01-13 06:37:00
85,96,2025-01-13 06:38:00
69,95,2025-01-13 06:39:00
90,93,2025-01-13 06:40:00
79,90,2025-01-13 06:41:00
81,93,2025-01-13 06:42:00
65,99,2025-01-13 06:43:00
67,96,2025-01-13 06:44:00
77,99,2025-01-13 06:45:00
82,91,2025-01-13 06:46:00
72,96,2025-01-13 06:47:00
83,95,2025-01-13 06:48:00
79,97,2025-01-13 06:49:00
78,95,2025-01-13 06:50:00
82,95,2025-01-13 06:51:00
76,94,2025-01-13 06:52:00
87,94,2025-01-13 06:53:00
80,97,2025-01-13 06:54:00
82,96,2025-01-13 06:55:00
75,94,2025-01-13 06:56:00
69,96,2025-01-13 06:57:00
87,93,2025-01-13 06:58:00
88,94,2025-01-13 06:59:00
71,95,2025-01-13 07:00:00
84,94,2025-01-13 07:01:00
79,94,2025-01-13 07:02:00
82,94,2025-01-13 07:03:00
70,92,2025-01-13 07:04:00
88,96,2025-01-13 07:05:00
91,91,2025-01-13 07:06:00
73,96,2025-01-13 07:07:00
79,94,2025-01-13 07:08:00
49,94,2025-01-13 07:09:00
74,94,2025-01-13 07:10:00
86,93,2025-01-13 07:11:00
76,97,2025-01-13 07:12:00
80,94,2025-01-13 07:13:00
87,96,2025-01-13 07:14:00
74,93,2025-01-13 07:15:00
81,94,2025-01-13 07:16:00
76,94,2025-01-13 07:17:00
63,97,2025-01-13 07:18:00
84,94,2025-01-13 07:19:00
76,94,2025-01-13 07:20:00
69,96,2025-01-13 07:21:00
88,94,2025-01-13 07:22:00
69,94,2025-01-13 07:23:00
59,98,2025-01-13 07:24:00
58,95,2025-01-13 07:25:00
78,91,2025-01-13 07:26:00
69,95,2025-01-13 07:27:00
80,95,2025-01-13 07:28:00
80,91,2025-01-13 07:29:00
95,94,2025-01-13 07:30:00
90,94,2025-01-13 07:31:00
86,94,2025-01-13 07:32:00
65,95,2025-01-13 07:33:00
66,96,2025-01-13 07:34:00
72,94,2025-01-13 07:35:00
70,92,2025-01-13 07:36:00
61,96,2025-01-13 07:37:00
59,96,2025-01-13 07:38:00
58,96,2025-01-13 07:39:00
71,95,2025-01-13 07:40:00
84,95,2025-01-13 07:41:00
69,93,2025-01-13 07:42:00
88,97,2025-01-13 07:43:00
64,96,2025-01-13 07:44:00
76,93,2025-01-13 07:45:00
84,91,2025-01-13 07:46:00
72,96,2025-01-13 07:47:00
53,95,2025-01-13 07:48:00
83,92,2025-01-13 07:49:00
71,97,2025-01-13 07:50:00
71,95,2025-01-13 07:51:00
56,98,2025-01-13 07:52:00
59,97,2025-01-13 07:53:00
74,92,2025-01-13 07:54:00
73,94,2025-01-13 07:55:00
72,91,2025-01-13 07:56:00
83,97,2025-01-13 07:57:00
70,93,2025-01-13 07:58:00
75,93,2025-01-13 07:59:00
82,89,2025-01-13 08:00:00
66,98,2025-01-13 08:01:00
48,97,2025-01-13 08:02:00
72,99,2025-01-13 08:03:00
67,91,2025-01-13 08:04:00
82,93,2025-01-13 08:05:00
74,94,2025-01-13 08:06:00
67,96,2025-01-13 08:07:00
89,94,2025-01-13 08:08:00
64,96,2025-01-13 08:09:00
81,94,2025-01-13 08:10:00
72,98,2025-01-13 08:11:00
76,95,2025-01-13 08:12:00
71,93,2025-01-13 08:13:00
83,92,2025-01-13 08:14:00
64,96,2025-01-13 08:15:00
72,94,2025-01-13 08:16:00
69,92,2025-01-13 08:17:00
72,96,2025-01-13 08:18:00
76,91,2025-01-13 08:19:00
